reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c722a243-2c95-42b4-a92a-30abfd19db01,Wiwied Widya Sartika,https://play-lh.googleusercontent.com/a-/ALV-UjWXD56AY0eXHVWPHd_M9sq7Hz1hs778E29jYtQRqi5iiGHbqYR1dA,ga bisa upgrade jd ad adana tertahan,1,0,5.18.2,2025-04-27 08:40:28,"Hai, Kak Wiwied. Saat upgrade ke GoPay Plus, pastikan dokumen serta foto selfie yang kamu kirim sudah sesuai dengan ketentuan GoPay, ya. Info lainnya bisa kamu lihat di halaman Bantuan > pilih menu GoPay > .pilih kategori ""Upgrade ke GoPay Plus > klik ""Upgrade GoPay Plus ditolak"" > dan pilih artikel yang sesuai dengan kendalamu. ^Maura",2025-04-27 09:13:48,5.18.2
4ab6b896-444a-47c4-87ed-542b396c8cf9,Hari Yadi,https://play-lh.googleusercontent.com/a/ACg8ocJtL1oR4E0eKuosKK5yzineGK7mc_3lDynvJrWfb8A7d6H5yA=mo,kami ini juga ingin makan buka hanya pemain slot. masak yg di utamakan main slot setengah hari dapat sampaib15 orderan. sementara yg pemain reguler dalam 1 hari hanya bisa dapat orderan 5 sampai 6 orderan,2,0,3.56.2,2025-04-27 08:36:54,"Hai Kak Hari, terima kasih atas ulasannya dan mohon maaf untuk kendalanya. Laporan yang Anda sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika Anda memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek Driver App Anda. ^Maura",2025-04-27 09:09:20,3.56.2
a9ec0fe6-06a8-400f-ac4e-22900bede56a,Reza Noviansyah,https://play-lh.googleusercontent.com/a-/ALV-UjUXRPUDT7Rz70MraEX28eS133g-Uu-8QhOkPFqJ--9dnBWGwm8,Knapa yah gak bisa update malah apk nya gak berjalan normal. Tolong perbaiki,5,0,5.16.3,2025-04-27 08:26:36,,,5.16.3
57bbfa91-1249-4033-b8bb-c5977e6f1b73,Abidin Solihin,https://play-lh.googleusercontent.com/a/ACg8ocL7BPpgVlAsB7RIGtly9V9OgwtVCT8KrQ_lf4GRoeXB06BBLg=mo,mudah n menyenangkan,5,0,5.17.1,2025-04-27 08:25:49,,,5.17.1
d4d2087c-0248-499e-9d72-d2ef90414796,Irfan Faiz,https://play-lh.googleusercontent.com/a-/ALV-UjUEWo4HzCZirATQ3bV-9r2Cv0xHKx7rod-y7ZMdINwMUQsqauDo,Alhamdulillah selama pake aplikasi ini tidak mengecewakan,5,0,5.17.1,2025-04-27 08:10:13,,,5.17.1
062e24d3-936e-4919-9011-0beab565c98c,Achmad Benda,https://play-lh.googleusercontent.com/a-/ALV-UjUzqYz3SbizC3PMPkOiZ8FBF0NJDGZLUla6jpHcZTxc7MHgDaZiRA,mantap,5,0,5.17.1,2025-04-27 07:58:46,,,5.17.1
e16a47e3-58a9-4fee-ac9f-09f886f71ac2,JK byanss,https://play-lh.googleusercontent.com/a-/ALV-UjUXqUu-VYWAVxRMSOYRjw7fWs-eWRvImigruRKz0tOiY0YecIo,bagus banget cuy aplikasi GO-JEK,5,0,,2025-04-27 07:38:38,,,
82c08a0e-74e7-41bf-8bcb-00414aa1a721,Sofia Nazwa,https://play-lh.googleusercontent.com/a/ACg8ocLXStNMuYUjDpxPMK39YOGlntkCcDgBvG-sNIHdhyLpKsVIVg=mo,"saya pesan GoCar udah sampai depan gerbang cluster dicancel padahal saya kasih tips dan gak pernah debat mau lewat mana pun, bukan sekali tapi sering lho, tega banget saya sering telat pergi kerja cuma gara gara ini doang😭",1,0,,2025-04-27 07:32:01,"Hai Kak Sofia, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver membatalkan pesanan saya"" pada kolom pencarian ya. ^Maura",2025-04-27 08:01:24,
cc614034-d7d7-4ab3-8395-cff83248e130,Rusmania Novianti,https://play-lh.googleusercontent.com/a/ACg8ocL02wYjOKFmsyEXdN3JdWccoNb3f60c72GNSUtsTEq8V41BiA=mo,drive gocar lu pada kaga danta,2,0,5.18.2,2025-04-27 07:24:29,"Hai Kak Rusmania, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maura",2025-04-27 07:42:39,5.18.2
8bba3942-f6a1-4387-a5a7-772c2c95d2b7,Wahyuilahi Muhammad Wahyuilahi,https://play-lh.googleusercontent.com/a/ACg8ocLylZidUB5hV9agAuWMo3a4-P_enIr35ZFf0dLyXuLmaot4Kg=mo,bagus,5,0,5.14.2,2025-04-27 07:20:46,,,5.14.2
